主播昵称,用户id,直播分类,房间名,直播热度,直播间地址,主播图片地址
鹿鹿虽迟但到,39124945,英雄联盟,初恋旧爱新欢 第几个才是你的伴,184566,https://www.douyu.com/5230007,https://rpic.douyucdn.cn/asrpic/220818/5230007_1705.png/webpdy2
斗鱼丶华仔,409388,英雄联盟,OB黑铁四：好好看 好好学,180055,https://www.douyu.com/24418,https://rpic.douyucdn.cn/asrpic/220818/24418_1704.png/webpdy2
da迪,12521680,英雄联盟,腰子迪：武汉发条辛德拉,177331,https://www.douyu.com/1711060,https://rpic.douyucdn.cn/asrpic/220818/1711060_1704.png/webpdy2
琪喵超甜QvQ,2432178,英雄联盟,湖南可爱姐姐。电一有车位~欢迎上车,175709,https://www.douyu.com/2381595,https://rpic.douyucdn.cn/asrpic/220818/2381595_1705.png/webpdy2
贤贤贤妹,417162849,英雄联盟,千分妹妹好厉害啊！,175575,https://www.douyu.com/11045768,https://rpic.douyucdn.cn/asrpic/220818/11045768_1701.png/webpdy2
Akl托尼老师,35563369,英雄联盟,7种玩法阿卡丽，炼金罐，宝珠咳血，创始人,174677,https://www.douyu.com/795972,https://rpic.douyucdn.cn/asrpic/220818/795972_1704.png/webpdy2
温晚调皮蛋,402724763,英雄联盟,艾欧尼亚❤大乱斗有车位~,173459,https://www.douyu.com/9655100,https://rpic.douyucdn.cn/asrpic/220818/9655100_1700.png/webpdy2
你的饼酱吖,9954068,英雄联盟,【有车位】艾欧尼亚等你~,173316,https://www.douyu.com/1343018,https://rpic.douyucdn.cn/asrpic/220818/1343018_1704.png/webpdy2
i苏十五,55647601,英雄联盟,【有车位】黑玫欢乐乱斗 不坐牢~,172762,https://www.douyu.com/7118720,https://rpic.douyucdn.cn/asrpic/220818/7118720_1705.png/webpdy2
紫紫紫夏,29276321,英雄联盟,艾欧尼亚：全能小天才,172596,https://www.douyu.com/6218869,https://rpic.douyucdn.cn/asrpic/220818/6218869_1705.png/webpdy2
希不动啦,367762183,英雄联盟,是甜妹呢，黑色玫瑰有位置,169819,https://www.douyu.com/10045703,https://rpic.douyucdn.cn/asrpic/220818/10045703_1700.png/webpdy2
夏柒up7,441779447,英雄联盟,我还以为你从来都不会点开我！,169300,https://www.douyu.com/10652524,https://rpic.douyucdn.cn/asrpic/220818/10652524_1700.png/webpdy2
玩剑圣的毛毛虫,155812589,英雄联盟,八万把中单剑圣请指教,167567,https://www.douyu.com/2845610,https://rpic.douyucdn.cn/live-cover/roomCove_coverUpdate_2022-03-21_557abb013233f3465e7687565f7190bc.jpg/webpdy2
泡泡不可爱,458642294,英雄联盟,黑色玫瑰新人妹妹 有哥哥一起玩儿吗,166898,https://www.douyu.com/11043502,https://rpic.douyucdn.cn/asrpic/220818/11043502_1701.png/webpdy2
一Q一个桃吱吱,269807206,英雄联盟,电一：风女挨揍日记T T,162738,https://www.douyu.com/6478865,https://rpic.douyucdn.cn/asrpic/220818/6478865_1705.png/webpdy2
小淘儿mm,98630525,英雄联盟,江浙沪温柔小姐姐，电一电十有位秒开ღ,161166,https://www.douyu.com/3585551,https://rpic.douyucdn.cn/asrpic/220818/3585551_1705.png/webpdy2
只属于你de甜芯,333955224,英雄联盟,广东妹纸.黑色一区有无一齐噶,160066,https://www.douyu.com/9455903,https://rpic.douyucdn.cn/live-cover/roomCover/cover_update/2022/05/31/4c932ca4c2e409a97d72c490101fd1f5.jpg/webpdy2
可爱的阿水,164468505,英雄联盟,网2德玛西亚典狱长女魔头带你坐牢,159119,https://www.douyu.com/7919333,https://rpic.douyucdn.cn/asrpic/220818/7919333_1706.png/webpdy2
苏茵茵呀,411649479,英雄联盟,电一，新人温柔甜妹申请出战～,158081,https://www.douyu.com/9858372,https://rpic.douyucdn.cn/asrpic/220818/9858372_1700.png/webpdy2
最初卡莎,26150824,英雄联盟,最初：第一卡莎各种玩法教学,154903,https://www.douyu.com/4527270,https://rpic.douyucdn.cn/asrpic/220818/4527270_1705.png/webpdy2
地球胖丶驴酱,135511818,英雄联盟,地球胖：峡谷之巅5转大师 小C一下,154816,https://www.douyu.com/2057760,https://rpic.douyucdn.cn/asrpic/220818/2057760_1705.png/webpdy2
你们别生气对身体不好,3437409,英雄联盟,应聘一下人才市场,154520,https://www.douyu.com/9277291,https://rpic.douyucdn.cn/asrpic/220818/9277291_1706.png/webpdy2
豪男xhn,135111345,英雄联盟,艾欧尼亚有车位❤温柔声优,151671,https://www.douyu.com/2056495,https://rpic.douyucdn.cn/asrpic/220818/2056495_1705.png/webpdy2
月月夏,332457068,英雄联盟,电一有位 这把我赢定啦！,149112,https://www.douyu.com/9087047,https://rpic.douyucdn.cn/asrpic/220818/9087047_1706.png/webpdy2
梨花mua,99874283,英雄联盟,来个人打游戏吧 球球了,149043,https://www.douyu.com/10744620,https://rpic.douyucdn.cn/asrpic/220818/10744620_1700.png/webpdy2
俞俊0829,11304401,英雄联盟,直播中 死歌细节教学！！,148432,https://www.douyu.com/2124309,https://rpic.douyucdn.cn/asrpic/220818/2124309_1705.png/webpdy2
